ID	Aligned Bases	Reference bases	% Aligned Bases
FA9036-ST10.R1.fastq.gz.out	4331395	4643559	93.28
FA9037-ST10.R1.fastq.gz.out	4328631	4643559	93.22
FA9038-ST10.R1.fastq.gz.out	4336299	4643559	93.38
FA9039-ST10.R1.fastq.gz.out	4290018	4643559	92.39
FA9040-ST10.R1.fastq.gz.out	4299252	4643559	92.59
FA9041-ST10.R1.fastq.gz.out	4335581	4643559	93.37
FA9042-ST10.R1.fastq.gz.out	4335216	4643559	93.36
FA9043-ST10.R1.fastq.gz.out	4337656	4643559	93.41
FA9044-ST10.R1.fastq.gz.out	4147400	4643559	89.32
FA9045-ST10.R1.fastq.gz.out	4335878	4643559	93.37
FA9047-ST10.R1.fastq.gz.out	4308340	4643559	92.78
FA9049-ST10.R1.fastq.gz.out	4287552	4643559	92.33
FA9050-ST10.R1.fastq.gz.out	4247001	4643559	91.46
FA9054-ST10.R1.fastq.gz.out	4337703	4643559	93.41
FA9056-ST10.R1.fastq.gz.out	4341544	4643559	93.5
FA9173-ST10.R1.fastq.gz.out	4245346	4643559	91.42
GA0220-ST48.R1.fastq.gz.out	4302869	4643559	92.66
GA0330-ST10.R1.fastq.gz.out	4334743	4643559	93.35
GA1461-ST43.R1.fastq.gz.out	4313380	4643559	92.89
GA1514-ST43.R1.fastq.gz.out	4266543	4643559	91.88
GA1516-ST43.R1.fastq.gz.out	4283681	4643559	92.25
GA1552-ST43.R1.fastq.gz.out	4240551	4643559	91.32
GA2593-ST10.R1.fastq.gz.out	4268087	4643559	91.91
GA2950-ST10.R1.fastq.gz.out	4361125	4643559	93.92
GA2954-ST10.R1.fastq.gz.out	4283418	4643559	92.24
GA4727-ST10.R1.fastq.gz.out	4262871	4643559	91.8
GA6270-ST10.R1.fastq.gz.out	4256325	4643559	91.66
GA6279-ST10.R1.fastq.gz.out	4359495	4643559	93.88
GA6285-ST10.R1.fastq.gz.out	4279007	4643559	92.15
GA6469-ST10.R1.fastq.gz.out	4334309	4643559	93.34
GA6959-ST10.R1.fastq.gz.out	4349534	4643559	93.67
GA6960-ST10.R1.fastq.gz.out	4250973	4643559	91.55
GA6962-ST10.R1.fastq.gz.out	4269787	4643559	91.95
GA6965-ST10.R1.fastq.gz.out	4332283	4643559	93.3
GA7591-ST10.R1.fastq.gz.out	4255927	4643559	91.65
GA9533-ST10.R1.fastq.gz.out	4368299	4643559	94.07
GA9538-ST10.R1.fastq.gz.out	4366330	4643559	94.03
HA4335-ST10.R1.fastq.gz.out	4219407	4643559	90.87
HA7271-ST43.R1.fastq.gz.out	4292976	4643559	92.45
HA7272-ST43.R1.fastq.gz.out	4287725	4643559	92.34
HA7275-ST43.R1.fastq.gz.out	4167757	4643559	89.75
HA7364-ST10.R1.fastq.gz.out	4310666	4643559	92.83
HA7401-ST10.R1.fastq.gz.out	4328038	4643559	93.21
HA7410-ST10.R1.fastq.gz.out	4326430	4643559	93.17
HA7412-ST10.R1.fastq.gz.out	4281671	4643559	92.21
HA7413-ST10.R1.fastq.gz.out	4369149	4643559	94.09
HA8150-ST167.R1.fastq.gz.out	4287983	4643559	92.34
HA8151-ST167.R1.fastq.gz.out	4288708	4643559	92.36
HS_fullgenome_commensal.snippy.out	4122444	4643559	88.78
			
	4272312.522	4643559	92.00514056
